Wall time,Step,Value
1664337482.291684,5,38.239776611328125
1664337489.06332,6,29.238601684570312
1664337530.821792,12,26.013931274414062
1664337558.882512,16,28.658559799194336
1664337565.920995,17,28.822757720947266
1664337587.265087,20,35.905582427978516
1664337594.191839,21,31.729881286621094
1664337601.35864,22,29.050113677978516
1664337615.188441,24,25.36634063720703
1664337622.15067,25,30.629287719726562
1664337643.663002,28,28.162784576416016
1664337650.815583,29,20.124256134033203
1664337694.481889,35,29.01523208618164
1664337730.810668,40,23.514421463012695
1664337745.496613,42,22.04328155517578
1664338315.992604,49,22.936275482177734
1664338323.361072,50,21.619810104370117
1664338330.402235,51,24.690082550048828
1664338345.03369,53,18.678312301635742
1664338366.84441,56,29.74727439880371
1664338388.645618,59,30.323196411132812
1664338410.251799,62,24.36031723022461
1664338417.275526,63,17.553680419921875
1664338424.689795,64,29.183223724365234
1664338431.675553,65,23.071876525878906
1664338446.136181,67,27.871685028076172
1664338453.118298,68,22.785953521728516
1664338459.945438,69,21.16908836364746
1664338466.919533,70,18.618144989013672
1664338481.165846,72,24.830957412719727
1664338488.611078,73,40.9940299987793
1664338531.308805,79,27.164230346679688
1664338545.988452,81,27.876937866210938
1664338553.400038,82,24.772258758544922
1664338568.085264,84,24.185333251953125
1664338589.722719,87,27.324926376342773
1664338617.981495,91,22.10055160522461
1664338625.220434,92,28.805091857910156
1664339217.528927,101,23.629131317138672
1664339225.026366,102,23.199474334716797
1664339246.375603,105,23.685619354248047
1664339268.100402,108,22.15951156616211
1664339275.217222,109,22.62441635131836
1664339290.067104,111,32.55658721923828
1664339339.825227,118,17.77193832397461
1664339374.967274,123,20.152910232543945
1664339402.71532,127,20.44887924194336
1664339409.80241,128,24.44215202331543
1664339424.593101,130,24.03435516357422
1664339439.005962,132,18.02523422241211
1664339446.386709,133,28.678428649902344
1664339482.305044,138,25.25737953186035
1664339489.326098,139,20.440696716308594
1664340076.993442,146,20.370349884033203
1664340091.41813,148,20.345001220703125
1664340098.446578,149,23.724910736083984
1664340119.757391,152,29.1453914642334
1664340169.969048,159,25.79421043395996
1664340184.219476,161,20.84067153930664
1664340191.259225,162,19.01125717163086
1664340205.48643,164,24.493396759033203
1664340219.926164,166,32.45226287841797
1664340262.426867,172,28.159114837646484
1664340269.467465,173,20.255447387695312
1664340276.562438,174,22.309711456298828
1664340297.551079,177,21.24195098876953
1664340304.688964,178,21.758586883544922
1664340311.640673,179,24.11762046813965
1664340318.851008,180,27.80268669128418
1664340340.523212,183,24.55230712890625
1664340362.042649,186,24.787425994873047
1664340369.327182,187,31.739429473876953
1664340376.90891,188,24.302749633789062
1664340926.870944,192,20.191373825073242
1664340934.077051,193,19.54161834716797
1664340941.355239,194,21.035579681396484
1664340963.123251,197,18.118343353271484
1664340991.771389,201,27.461511611938477
1664340999.013272,202,25.35870361328125
1664341013.576769,204,17.157550811767578
1664341020.810718,205,26.549575805664062
1664341027.949252,206,22.38611602783203
1664341035.505122,207,33.228843688964844
1664341049.619156,209,22.46675682067871
1664341063.790492,211,25.35011863708496
1664341077.928507,213,19.467586517333984
1664341091.886198,215,31.434406280517578
1664341106.032647,217,34.250797271728516
1664341113.070584,218,21.361125946044922
1664341134.466707,221,25.647056579589844
1664341141.661811,222,26.57443618774414
1664341148.64631,223,19.860990524291992
1664341155.611763,224,21.658151626586914
1664341169.353296,226,19.27984619140625
1664341205.655558,231,22.577991485595703
1664341789.255625,239,17.6007080078125
1664341796.776688,240,30.455421447753906
1664341803.897869,241,20.09988784790039
1664341818.196073,243,21.033889770507812
1664341825.462169,244,23.117616653442383
1664341840.154266,246,21.876903533935547
1664341847.324767,247,20.44685173034668
1664341854.320198,248,17.409927368164062
1664341861.48952,249,21.21066665649414
1664341897.938977,254,18.809175491333008
1664341905.069182,255,25.891517639160156
1664341912.422938,256,31.077102661132812
1664341940.824245,260,20.59246826171875
1664341948.233143,261,27.47516441345215
1664341955.23781,262,18.277793884277344
1664341969.574755,264,27.071054458618164
1664342026.566916,272,27.293058395385742
1664342033.609356,273,21.72789764404297
1664342055.173387,276,16.522451400756836
1664342069.349362,278,19.554119110107422
1664342083.994514,280,25.010112762451172
1664342098.276006,282,24.01508140563965
1664342639.479658,284,25.711034774780273
1664342646.912107,285,31.05297088623047
1664342661.249327,287,24.468753814697266
1664342675.91315,289,31.693981170654297
1664342683.214415,290,21.535564422607422
1664342697.788691,292,29.438289642333984
1664342733.216157,297,26.056690216064453
1664342740.309734,298,21.271732330322266
1664342747.349352,299,20.18111228942871
1664342754.413428,300,18.613903045654297
1664342811.080266,308,26.209758758544922
1664342824.956707,310,19.83524513244629
1664342832.216197,311,26.936683654785156
1664342853.346247,314,20.173686981201172
1664342881.419431,318,20.698997497558594
1664342895.838254,320,20.408523559570312
