Wall time,Step,Value
1664337482.293405,5,7.226896286010742
1664337489.065033,6,5.674959659576416
1664337530.823299,12,5.224196434020996
1664337558.884291,16,6.24839973449707
1664337565.922659,17,5.960005283355713
1664337587.266737,20,8.01317024230957
1664337594.193467,21,6.444308280944824
1664337601.360089,22,6.310668468475342
1664337615.1901,24,5.291823387145996
1664337622.152545,25,6.792505741119385
1664337643.664694,28,6.743168830871582
1664337650.817046,29,4.03289270401001
1664337694.483591,35,6.1214094161987305
1664337730.812568,40,5.20380973815918
1664337745.498235,42,4.9354400634765625
1664338315.994323,49,5.042903900146484
1664338323.362801,50,4.699897766113281
1664338330.403678,51,5.716031074523926
1664338345.035351,53,4.0887556076049805
1664338366.846098,56,7.004299163818359
1664338388.647347,59,6.995367050170898
1664338410.253473,62,5.846837520599365
1664338417.277208,63,3.9486608505249023
1664338424.691482,64,7.161210536956787
1664338431.67736,65,5.390530586242676
1664338446.13764,67,6.509234428405762
1664338453.120119,68,4.854864120483398
1664338459.947149,69,4.7778191566467285
1664338466.921228,70,4.05492639541626
1664338481.167529,72,5.638771057128906
1664338488.612891,73,10.189762115478516
1664338531.310497,79,6.435006141662598
1664338545.990122,81,6.950802326202393
1664338553.401818,82,6.176060199737549
1664338568.08703,84,5.706506252288818
1664338589.724385,87,6.603575706481934
1664338617.983154,91,4.833950519561768
1664338625.222416,92,6.872453689575195
1664339217.530651,101,5.592891693115234
1664339225.02814,102,5.36152458190918
1664339246.377248,105,5.960648059844971
1664339268.102163,108,5.272047996520996
1664339275.219134,109,4.94460391998291
1664339290.068799,111,8.35708999633789
1664339339.826924,118,4.2995476722717285
1664339374.968976,123,4.492242813110352
1664339402.71704,127,4.419569492340088
1664339409.803803,128,5.34120512008667
1664339424.594787,130,5.849054336547852
1664339439.007675,132,3.9395925998687744
1664339446.388819,133,7.634518623352051
1664339482.306708,138,5.938781261444092
1664339489.327881,139,4.5730156898498535
1664340076.995189,146,4.956333160400391
1664340091.41988,148,4.590485572814941
1664340098.448329,149,5.746895790100098
1664340119.759147,152,7.276689529418945
1664340169.970712,159,6.054859638214111
1664340184.22131,161,5.087377548217773
1664340191.260909,162,4.41249942779541
1664340205.488263,164,5.945918083190918
1664340219.927819,166,8.2902250289917
1664340262.428505,172,7.353315830230713
1664340269.469189,173,4.666060447692871
1664340276.564106,174,5.49596643447876
1664340297.552856,177,5.5063018798828125
1664340304.690615,178,4.912323474884033
1664340311.642541,179,6.142017364501953
1664340318.852526,180,7.233170032501221
1664340340.52471,183,5.911761283874512
1664340362.044371,186,5.5483598709106445
1664340369.328827,187,7.808957099914551
1664340376.910585,188,5.777042388916016
1664340926.872809,192,4.800282001495361
1664340934.078898,193,4.772899627685547
1664340941.356929,194,4.900842189788818
1664340963.124966,197,4.434258460998535
1664340991.773395,201,7.024458885192871
1664340999.015044,202,6.495676040649414
1664341013.578533,204,3.864351272583008
1664341020.812516,205,6.771075248718262
1664341027.950886,206,4.722415924072266
1664341035.506942,207,8.922507286071777
1664341049.620806,209,5.7402472496032715
1664341063.792174,211,6.477728366851807
1664341077.930233,213,4.663144588470459
1664341091.887853,215,7.7463226318359375
1664341106.034416,217,8.738603591918945
1664341113.072217,218,4.58321475982666
1664341134.468359,221,5.889761924743652
1664341141.66356,222,6.5121564865112305
1664341148.648081,223,4.737254619598389
1664341155.61375,224,5.166263103485107
1664341169.354838,226,4.319653511047363
1664341205.657254,231,5.200843811035156
1664341789.25745,239,4.4373064041137695
1664341796.778396,240,7.571916103363037
1664341803.899601,241,4.818609714508057
1664341818.197868,243,4.971668720245361
1664341825.463828,244,5.451932907104492
1664341840.15616,246,5.812028884887695
1664341847.326538,247,5.2353363037109375
1664341854.322048,248,4.10652494430542
1664341861.491355,249,5.357059478759766
1664341897.940688,254,4.6747846603393555
1664341905.071079,255,6.640754699707031
1664341912.424603,256,8.327825546264648
1664341940.826148,260,4.964371681213379
1664341948.234834,261,6.738483905792236
1664341955.239571,262,4.389133453369141
1664341969.576422,264,7.161572456359863
1664342026.568743,272,6.961911201477051
1664342033.610817,273,5.4533233642578125
1664342055.17502,276,3.837827205657959
1664342069.350912,278,4.444699287414551
1664342083.996266,280,6.130053997039795
1664342098.277735,282,6.152887344360352
1664342639.481346,284,6.4902238845825195
1664342646.913934,285,8.51837158203125
1664342661.251052,287,6.574578762054443
1664342675.914999,289,8.424656867980957
1664342683.216216,290,4.96049165725708
1664342697.790371,292,7.509927749633789
1664342733.218248,297,6.391642093658447
1664342740.311787,298,4.941239833831787
1664342747.351008,299,5.056239128112793
1664342754.415375,300,4.505173683166504
1664342811.082088,308,6.609519004821777
1664342824.958426,310,4.6833600997924805
1664342832.21785,311,6.950655937194824
1664342853.347893,314,4.895951747894287
1664342881.421079,318,4.854538917541504
1664342895.839791,320,5.382951736450195
1664342903.137848,321,4.639477729797363
1664342924.708475,324,4.439684867858887
1664342939.208213,326,5.364713668823242
1664343493.96712,331,8.45835018157959
1664343508.823006,333,6.895948886871338
1664343516.020716,334,4.823127269744873
1664343552.128694,339,5.700146198272705
1664343559.512217,340,6.434100151062012
1664343573.753882,342,5.074615478515625
1664343594.95127,345,7.060690879821777
1664343609.322014,347,4.761979103088379
1664343616.56244,348,5.779431343078613
1664343644.938176,352,4.996272087097168
1664343659.257739,354,5.168250560760498
1664343666.343889,355,6.296036720275879
1664343673.43866,356,5.102452278137207
1664343702.337699,360,6.024818420410156
1664343730.54482,364,4.994137763977051
1664343737.786452,365,4.994570732116699
1664343745.098125,366,5.360912799835205
1664343752.328547,367,4.206416606903076
1664343759.558232,368,6.117715835571289
1664343766.825718,369,6.03225564956665
1664343816.975761,376,4.074189186096191
1664344365.739138,379,5.667945384979248
1664344373.225718,380,4.909263610839844
1664344431.217795,388,6.121159553527832
1664344459.660473,392,5.0666890144348145
1664344466.923289,393,4.437030792236328
1664344473.980733,394,4.870889663696289
1664344481.056193,395,4.585555076599121
1664344488.29317,396,6.228492736816406
1664344509.692897,399,5.016860008239746
1664344544.765793,404,5.713812351226807
1664344559.094218,406,7.015769004821777
1664344587.470041,410,6.522631645202637
1664344594.675983,411,6.948281288146973
1664344622.895954,415,6.206778526306152
1664344630.130698,416,4.683985710144043
1664344637.302364,417,4.57187032699585
1664344658.878797,420,6.194849967956543
1664344680.471316,423,7.3057098388671875
1664344687.61764,424,5.87779426574707
1664345230.088935,427,4.268993854522705
1664345237.264383,428,3.723175525665283
1664345265.816478,432,6.131374359130859
1664345272.925594,433,5.626009941101074
1664345301.898542,437,5.510380744934082
1664345309.208362,438,6.230078220367432
1664345316.5066,439,6.113938331604004
1664345330.584876,441,4.085440158843994
1664345337.534006,442,4.49677038192749
1664345344.400572,443,4.849055290222168
1664345358.525175,445,6.011593341827393
1664345365.675475,446,6.1076250076293945
1664345372.814355,447,4.917487144470215
1664345379.897208,448,6.067417144775391
1664345407.977254,452,4.752189636230469
1664345415.272348,453,6.161140441894531
1664345422.168879,454,5.750619888305664
1664345429.322212,455,8.348960876464844
1664345436.245652,456,4.397441387176514
1664345450.261844,458,5.7710700035095215
1664345464.401848,460,4.459050178527832
1664345478.867547,462,7.032483100891113
1664345485.561564,463,4.208518981933594
1664345513.90962,467,4.388875484466553
1664345521.014767,468,4.907289981842041
1664345535.137104,470,3.972135305404663
1664346084.295916,472,5.715537071228027
1664346114.390382,476,8.045040130615234
1664346121.371439,477,5.281783580780029
1664346143.317128,480,6.114195823669434
1664346150.487608,481,4.947957992553711
1664346157.656553,482,4.588071346282959
1664346164.863229,483,4.801445007324219
1664346179.283934,485,8.133077621459961
1664346186.637069,486,6.7413330078125
1664346207.714699,489,4.129329204559326
1664346214.861008,490,4.912020683288574
1664346221.925128,491,5.490156173706055
1664346236.003435,493,5.109650135040283
1664346257.243831,496,5.91170072555542
1664346285.465236,500,6.1164093017578125
1664346313.810258,504,5.8077898025512695
1664346320.802442,505,4.677270412445068
1664346342.164759,508,5.46226692199707
1664346363.679469,511,5.048266887664795
1664346370.818847,512,4.782835960388184
1664346377.794618,513,4.098136901855469
1664346384.86404,514,4.225422382354736
1664346392.081317,515,6.14209508895874
1664346399.362001,516,4.298009872436523
1664346949.821702,519,8.181650161743164
1664346957.15989,520,4.615365028381348
1664346964.363542,521,5.564786434173584
1664346971.638146,522,5.085272789001465
1664346993.046114,525,5.177031517028809
1664347043.927336,532,8.031842231750488
1664347065.41806,535,6.125242710113525
1664347072.56248,536,5.389535903930664
1664347086.885039,538,4.891318321228027
1664347093.667843,539,4.205575942993164
1664347100.583246,540,4.289186477661133
1664347107.769009,541,5.834771156311035
1664347114.768079,542,4.994883060455322
1664347129.018741,544,7.578912258148193
1664347143.231287,546,5.798505783081055
1664347156.991466,548,4.604770183563232
1664347164.005248,549,4.9855241775512695
1664347185.158894,552,4.491395950317383
1664347198.897959,554,4.7889485359191895
1664347219.882284,557,4.761181831359863
1664347227.691803,558,9.994523048400879
1664347270.07279,564,5.542642593383789
1664347277.074304,565,5.125694274902344
1664347816.520996,566,5.684392929077148
1664347846.323555,570,7.914494037628174
1664347867.879664,573,6.283102989196777
1664347882.186094,575,3.629180431365967
1664347903.740731,578,4.523218154907227
1664347932.242844,582,6.310100555419922
1664347960.38038,586,5.888520240783691
1664347967.383467,587,5.743111610412598
1664347974.390776,588,4.737894058227539
1664347988.497995,590,6.815646171569824
1664348002.932123,592,5.066586494445801
1664348009.95683,593,5.044536113739014
1664348017.016963,594,5.020251274108887
1664348031.372042,596,5.819533824920654
1664348045.245272,598,5.09300422668457
1664348052.56948,599,6.6170549392700195
1664348059.530807,600,5.20207405090332
1664348066.342757,601,4.582081317901611
1664348080.957221,603,4.831830978393555
1664348088.236473,604,5.389481067657471
1664348095.347334,605,4.546530723571777
1664348109.630257,607,4.047440528869629
1664348131.41608,610,5.959715843200684
1664348145.303716,612,6.190447807312012
1664348693.587414,615,6.220544815063477
1664348700.835251,616,6.129594326019287
