Wall time,Step,Value
1664337482.296545,5,17.560222625732422
1664337489.067938,6,12.821823120117188
1664337530.826426,12,11.629039764404297
1664337558.887581,16,12.285844802856445
1664337565.925926,17,12.583476066589355
1664337587.269698,20,14.944110870361328
1664337594.196824,21,15.276999473571777
1664337601.362926,22,12.135290145874023
1664337615.192954,24,11.067365646362305
1664337622.15589,25,12.895577430725098
1664337643.668082,28,11.353206634521484
1664337650.81981,29,8.603123664855957
1664337694.486925,35,12.826388359069824
1664337730.81602,40,9.921064376831055
1664337745.501524,42,8.826329231262207
1664338315.997437,49,9.048295974731445
1664338323.365827,50,8.894349098205566
1664338330.406535,51,10.187034606933594
1664338345.038609,53,7.593018054962158
1664338366.849432,56,12.298055648803711
1664338388.650289,59,12.709136962890625
1664338410.25666,62,9.564091682434082
1664338417.280542,63,6.8869242668151855
1664338424.694672,64,12.255908012390137
1664338431.680786,65,9.196264266967773
1664338446.140535,67,10.92428970336914
1664338453.123571,68,10.10302448272705
1664338459.950426,69,8.931146621704102
1664338466.924739,70,7.695542812347412
1664338481.170549,72,10.692813873291016
1664338488.616342,73,18.10787582397461
1664338531.313623,79,11.469308853149414
1664338545.993298,81,10.553141593933105
1664338553.404777,82,9.745122909545898
1664338568.090376,84,10.030515670776367
1664338589.727558,87,11.022119522094727
1664338617.986385,91,9.393810272216797
1664338625.225786,92,12.172736167907715
1664339217.533947,101,9.489599227905273
1664339225.031084,102,9.77401351928711
1664339246.380144,105,8.491606712341309
1664339268.105023,108,8.644570350646973
1664339275.222392,109,9.770120620727539
1664339290.071763,111,14.089302062988281
1664339339.830055,118,6.667791366577148
1664339374.972239,123,8.208220481872559
1664339402.720224,127,8.721075057983398
1664339409.806591,128,10.204875946044922
1664339424.598103,130,9.497688293457031
1664339439.010985,132,7.712377548217773
1664339446.392312,133,11.358454704284668
1664339482.310021,138,9.644712448120117
1664339489.331263,139,8.324519157409668
1664340076.998507,146,7.653264045715332
1664340091.423336,148,8.550540924072266
